date,BTC-USD,EUNL.DE,QQQ,TSLA,V,VOO,XAR,XRP-USD
2017-11-09,8.873969341170989,3.8059956279274485,4.981819643180273,3.00564959351171,4.662542382279576,5.337415855200582,4.333239965714711,-1.525611575917294
2017-11-10,8.797569663343308,3.8039922850137997,4.981754936992412,3.00564959351171,4.660221444098402,5.336825357701405,4.324541326391987,-1.5775371630551764
2017-11-13,8.788668170744156,3.8026544615638613,4.982990541257788,3.0457914722172488,4.655921650415276,5.338006150868708,4.315891380451887,-1.5923742911098422
2017-11-14,8.800226977303511,3.7912104162041986,4.979344635186846,3.0243197266987147,4.661114900064264,5.335559229569889,4.317526870109483,-1.5614814566246915
2017-11-15,8.897756136985182,3.786006206384011,4.974636565760313,3.032706818751142,4.645544912530185,5.330434961483979,4.310463273226135,-1.5466697243140948
2017-11-16,8.971028050431768,3.794814831972641,4.987335243240868,3.036554207039088,4.654274995010828,5.3389327723474995,4.321791078006131,-1.4823339922519456
2017-11-17,8.950142489676127,3.7916616900620523,4.983509943200306,3.044681098377181,4.643407177225374,5.336234731674639,4.316646593379138,-1.4846527501313576
2017-11-20,9.011967436117054,3.7970609801113526,4.982730529876903,3.0244492845544486,4.644590563936974,5.337542407906157,4.32528963363554,-1.4323006202095592
2017-11-21,8.996064853867155,3.8039922850137997,4.993528127459498,3.053403463142107,4.658140719111688,5.3441809764438055,4.336821497789505,-1.4555543992806648
2017-11-22,9.01839866614117,3.7995259810312545,4.994748968781557,3.036874224207042,4.652471728759388,5.343468964053709,4.332744773446498,-1.4318818684225672
2017-11-24,9.018415704119416,3.792788941571938,4.998403708169654,3.0462669565992724,4.6627955707904345,5.345562293321544,4.334847149288205,-1.4079593436911888
2017-11-27,9.192008323005707,3.7916616900620523,4.997955760176454,3.0502520162902256,4.666450756455883,5.345269483610135,4.334476474582509,-1.3707084847114994
2017-11-28,9.21620313282748,3.7988543414967273,5.000513336984568,3.0525850887506447,4.675133249121783,5.35513498932699,4.349318633759735,-1.2068035175589686
2017-11-29,9.199138904285443,3.8026544615638613,4.9829252832916655,3.020554949558368,4.643771259055813,5.354762050197932,4.345170448650784,-1.4144304908853638
2017-11-30,9.23343166502875,3.8022081223910407,4.991274683354177,3.0248055284504747,4.668317545015341,5.363097233528839,4.3564770814330345,-1.3827884889982611
2017-12-01,9.303429870562601,3.7914360355532932,4.9870119923000376,3.0172654247840818,4.651659586474835,5.361246459935252,4.342722254080148,-1.363754273488632
2017-12-04,9.363679310600322,3.808549576645175,4.975422837594392,3.0129170820593814,4.6214041992847426,5.360175645180526,4.337807610908606,-1.3721114017754081
2017-12-05,9.385696073042743,3.8084387297894695,4.9760778203531455,3.0079902299849777,4.632052009215294,5.356624996698322,4.329148383219353,-1.402013230307428
2017-12-06,9.567420233924551,3.80621793635412,4.980582800062682,3.038983352811197,4.64267861565629,5.356583539602308,4.339653359147162,-1.4586758034029041
2017-12-07,9.792539188265879,3.807661949453948,4.983964721077057,3.032514074013559,4.657692000185815,5.35988694042389,4.347612664199593,-1.5013775716143882
2017-12-08,9.715312923321989,3.8139691053466396,4.9883705256678805,3.0449350664941517,4.668406499490906,5.365313821064417,4.348222287283342,-1.3778303025661263
2017-12-11,9.737244094482097,3.8138587734735556,4.996096935604717,3.087733978740902,4.666361627830229,5.368547946286016,4.339284462035367,-1.3795530803999627
2017-12-12,9.765110173671324,3.8239565232269905,4.994748968781557,3.123920211714293,4.676015121455928,5.370262946437942,4.342599547993162,-0.9847275146896083
2017-12-13,9.705536441240552,3.821551085560415,4.996674256744457,3.118038366207887,4.674692163486136,5.37001797424248,4.349683946978501,-0.7527634613321094
2017-12-14,9.714986944665458,3.8178222335017993,4.99596873438023,3.1146701563049795,4.671244302131233,5.366051806975613,4.348222287283342,-0.1458781605433163
2017-12-15,9.781709695166834,3.8205654183474906,5.007259648583355,3.1309913751000624,4.6791829278646695,5.374415702151079,4.3650900992279205,-0.27947451126961514
2017-12-18,9.858186752433209,3.8262472151064246,5.015608766044441,3.1175663543812706,4.676807943316135,5.380612994788098,4.3692812473794636,-0.25050578405300694
2017-12-19,9.785643846093997,3.8223170723146143,5.009665891271664,3.0943702618850453,4.6643127818375385,5.37697239308732,4.365570309986829,-0.23413242870837564
2017-12-20,9.718638781587423,3.8155121386569695,5.008587198015842,3.0879467213637497,4.664134422774959,5.376201773771617,4.36712833947792,-0.25364912368465603
2017-12-21,9.667948771195224,3.8196883975723095,5.008714097565948,3.0960601289709224,4.666717592500566,5.378227689595233,4.369878772111522,0.17652146915362574
2017-12-22,9.534725553913065,3.819907683058083,5.007571013322207,3.076390190647819,4.669205517345013,5.378025381236453,4.367966266623032,0.1295183810610096
2017-12-27,9.670198963914679,3.818371422535728,5.002283046792448,3.0337984295594196,4.680938635301325,5.3774313218130425,4.370475457643968,0.33621503505036643
2017-12-28,9.589221914101325,3.8137484294260062,5.00349591664611,3.045664650285775,4.683828668147219,5.379301872552405,4.374049363115606,0.3582896050379745
2017-12-29,9.592618746435283,3.8161726864888066,4.9972880493387555,3.0328674569372245,4.680938635301325,5.375842752964178,4.367726861403116,0.7950718392108678
2018-01-02,9.61461140808905,3.809835263560581,5.014662918573137,3.061925718418587,4.685226790800639,5.383154120473536,4.369639824372504,0.9086214174046285
2018-01-03,9.62911649414402,3.8179320451472756,5.024332560673623,3.0516398874558934,4.695133148094421,5.389085664686591,4.370714109365134,1.1331328853241176
2018-01-04,9.654974922392052,3.8231262518240943,5.02608078499941,3.043315356897211,4.698844534809058,5.39346155856703,4.37772940898204,1.1620971302140477
