date,BTC-USD,EUNL.DE,QQQ,TSLA,V,VOO,XAR,XRP-USD
2017-11-09,,,,,,,,
2017-11-10,,,,,,,,
2017-11-13,,,,,,,,
2017-11-14,,,,,,,,
2017-11-15,,,,,,,,
2017-11-16,,,,,,,,
2017-11-17,,,,,,,,
2017-11-20,,,,,,,,
2017-11-21,,,,,,,,
2017-11-22,,,,,,,,
2017-11-24,,,,,,,,
2017-11-27,,,,,,,,
2017-11-28,,,,,,,,
2017-11-29,,,,,,,,
2017-11-30,,,,,,,,
2017-12-01,,,,,,,,
2017-12-04,,,,,,,,
2017-12-05,,,,,,,,
2017-12-06,,,,,,,,
2017-12-07,,,,,,,,
2017-12-08,3189.5442194089096,0.33110943267689735,1.1187321297271338,0.32274112924166865,1.3518092266638255,2.310643218686294,0.9588035872976703,0.021877668512001534
2017-12-11,3483.116141896395,0.3536010302215016,1.1547751729131077,0.3936142838549571,1.3683832207019508,2.443998720435572,0.9637436796668446,0.021653106611218585
2017-12-12,3706.3750431546255,0.4222805576819542,1.1704680389298303,0.5533083614985456,1.4551001941802335,2.5518008298274344,0.960823254163922,0.03559403355511272
2017-12-13,3767.2703582638005,0.4667050624467381,1.1985183891278504,0.662818407291948,1.526669462294302,2.6210313729673866,0.9354768802894945,0.05943659374584133
2017-12-14,3781.3764541283854,0.4759711966039126,1.1890253750992488,0.7325785933431768,1.5645243862598681,2.5634174710361273,0.8973389248950068,0.1439159026744946
2017-12-15,3854.158031667914,0.46862633204947235,1.2350515375260174,0.8254186337814061,1.6297814935594026,2.476713621532323,0.8831660345363828,0.17484810966570424
2017-12-18,3997.5481533210573,0.49936255987089717,1.47814997970347,0.8739674607574652,1.6855304388450898,2.590311366510865,0.9515076519975186,0.20036102866269895
2017-12-19,3965.17340878303,0.49698820678222727,1.5610143622900643,0.8878128907252388,1.647886080782755,2.515438530251089,0.9165166529103255,0.22090052903064017
2017-12-20,3854.5855681678995,0.48816190709825386,1.6009181089497608,0.8793653007810404,1.608751582432084,2.3830687474036005,0.9246343702813247,0.2356598555096607
2017-12-21,3660.4722665582203,0.49599458736746,1.669011298989359,0.8911989794362831,1.6131329667751912,2.3452159160886965,0.9858518176567196,0.2896666038086517
2017-12-22,3416.2668860348053,0.49364830835839746,1.7191841232176936,0.8815295265554108,1.6090760626400622,2.234196240462406,0.9993084140568512,0.3229547551488069
2017-12-27,3137.581749374298,0.4624321015913522,1.731021845849766,0.8899393798201795,1.668890432066485,2.097356564290651,1.019351295208011,0.3745203166409824
2017-12-28,2937.685063049123,0.4125972270326761,1.7483545545654342,0.8920929917985815,1.7383832638832002,1.9098512930190332,1.0394502932045118,0.41564993419086066
2017-12-29,2725.419026892794,0.3864741822174603,1.7421420580731828,0.903461873491615,1.7654476442586142,1.8330433811767677,1.0631929375860838,0.5393916497801581
2018-01-02,2453.210567805746,0.3714570557724471,1.7895076460634036,0.877578852499075,1.7623553961511356,1.8085937732333424,1.0794678844853118,0.6560517772840915
2018-01-03,2159.7530359712896,0.35147328082093254,1.9821198458703626,0.8571792274800057,1.8916706320500278,1.9732305226736575,1.1096711665768237,0.8148172055161218
2018-01-04,1887.4650672536645,0.2643835708716873,2.1287259420514055,0.8308809183567011,1.9915566513669274,2.157469192826845,1.1395491502403396,0.9370535057852202
2018-01-05,1663.9786647409544,0.28456713042211546,2.252510315812535,0.7919374515518366,2.0298364056916247,2.4049355412019913,1.1717273604666971,1.0111633877785593
2018-01-08,1387.8902936795862,0.33261263621695475,2.3567305222587973,0.7506594961959613,2.1310168198942736,2.548576899452471,1.1730221473809666,1.0217512121096182
2018-01-09,1368.324545472081,0.3974121468855235,2.4302096062499876,0.737078428466162,2.2126597012305744,2.6426755013343795,1.2230678367589178,1.0048043781530762
2018-01-10,1337.9409330091694,0.4122155032795062,2.4395606892679993,0.7101071752813157,2.329798096775968,2.6723204202343918,1.260963497576756,0.9748683117148003
2018-01-11,1453.8557779179753,0.42297148550868885,2.5270038238140815,0.7006758555546665,2.5248753413980487,2.868157134995584,1.3377929461620857,0.9377607248195634
2018-01-12,1494.573746180588,0.43311233994897524,2.728267777795078,0.7098790823751203,2.6731274665079177,3.1677835093293836,1.4439876396129778,0.8932497519302052
2018-01-16,1716.0939234716109,0.44614642138979727,2.806738482418076,0.7062794551399112,2.8376215041790838,3.3152148743390715,1.4133346674104617,0.8522693876669224
2018-01-17,1942.856432421619,0.4531754788307027,2.9871566765824697,0.7417246290431082,3.075171381597258,3.580737135970701,1.4454582883903448,0.811370857620534
2018-01-18,2084.7673750514236,0.45329540355713865,3.0815360485497325,0.7653381470963735,3.321957534321951,3.6555079015931655,1.39089790200306,0.7880105708014821
2018-01-19,2116.564521934175,0.463073217023403,3.249020234593383,0.797431472221805,3.499287519441912,3.846001881638394,1.465695744615386,0.7559018063051827
2018-01-22,2020.297093299542,0.4813814156042606,3.552457854433464,0.8494771055703368,3.7306719861043454,4.182797312853288,1.4882753130465136,0.7269378199198809
2018-01-23,1995.222708542874,0.5078609508615698,3.8588057709875794,0.9103309921127724,3.8246734950944385,4.422759795906024,1.4611905098155138,0.697339912213289
2018-01-24,1981.3143401387938,0.4935531859977979,3.9783687781845836,0.9334832116755511,3.8218336802641133,4.542981726117982,1.4365965849352396,0.6633060282447851
2018-01-25,1995.2839943446102,0.4820553906909821,4.0292283936726525,0.9368226405291369,3.800702311007952,4.610125344525721,1.4566396640255461,0.657646172369149
