,actual,predicted,abs_error,mape (%)
1970-01-01 00:00:00.000001901,219.0677947998047,220.54440307617188,1.4766082763671875,0.6740416945889227
1970-01-01 00:00:00.000001902,219.97569274902344,220.54440307617188,0.5687103271484375,0.25853325885296585
1970-01-01 00:00:00.000001903,219.7861328125,220.54440307617188,0.758270263671875,0.34500368788906116
1970-01-01 00:00:00.000001904,217.48141479492188,220.54440307617188,3.06298828125,1.4083908200331976
1970-01-01 00:00:00.000001905,218.2197265625,220.54440307617188,2.324676513671875,1.065291644477461
1970-01-01 00:00:00.000001906,216.04470825195312,220.54440307617188,4.49969482421875,2.082760952872388
1970-01-01 00:00:00.000001907,213.7898864746093,220.54440307617188,6.754516601562585,3.159418208664788
1970-01-01 00:00:00.000001908,216.4038848876953,220.54440307617188,4.1405181884765625,1.913328954618962
1970-01-01 00:00:00.000001909,217.5811920166016,220.54440307617188,2.963211059570284,1.3618875014455243
1970-01-01 00:00:00.000001910,216.34402465820312,220.54440307617188,4.20037841796875,1.9415273542242868
1970-01-01 00:00:00.000001911,214.8275146484375,220.54440307617188,5.716888427734375,2.6611528030243194
1970-01-01 00:00:00.000001912,213.89962768554688,220.54440307617188,6.644775390625,3.1064922657992944
1970-01-01 00:00:00.000001913,214.4383850097656,220.54440307617188,6.106018066406278,2.8474463963754473
1970-01-01 00:00:00.000001914,217.9603271484375,220.54440307617188,2.584075927734375,1.1855716870779618
1970-01-01 00:00:00.000001915,218.4791259765625,220.54440307617188,2.065277099609375,0.94529721792778
1970-01-01 00:00:00.000001916,216.06466674804688,220.54440307617188,4.479736328125,2.073331283429522
1970-01-01 00:00:00.000001917,215.01705932617188,220.54440307617188,5.52734375,2.5706535878231183
1970-01-01 00:00:00.000001918,216.08462524414065,220.54440307617188,4.459777832031222,2.0639033559154867
1970-01-01 00:00:00.000001919,211.42530822753903,220.54440307617188,9.119094848632841,4.31315197082212
1970-01-01 00:00:00.000001920,211.5749664306641,220.54440307617188,8.969436645507784,4.239365741999154
1970-01-01 00:00:00.000001921,212.8819580078125,220.54440307617188,7.662445068359375,3.599386786962084
1970-01-01 00:00:00.000001922,215.6555938720703,220.54440307617188,4.8888092041015625,2.26695218812718
1970-01-01 00:00:00.000001923,215.7054901123047,220.54440307617188,4.8389129638671875,2.2432961540978216
1970-01-01 00:00:00.000001924,219.85597229003903,220.54440307617188,0.6884307861328409,0.3131280806075385
1970-01-01 00:00:00.000001925,219.0777587890625,220.54440307617188,1.466644287109375,0.6694628862446613
1970-01-01 00:00:00.000001926,219.7661895751953,220.54440307617188,0.7782135009765625,0.35410974840162507
1970-01-01 00:00:00.000001927,216.94265747070312,220.54440307617188,3.60174560546875,1.660229319332988
1970-01-01 00:00:00.000001928,217.2120513916016,220.54440307617188,3.332351684570284,1.5341467764891834
1970-01-01 00:00:00.000001929,214.5980224609375,220.54440307617188,5.946380615234375,2.7709391480141776
1970-01-01 00:00:00.000001930,214.7975616455078,220.54440307617188,5.7468414306640625,2.675468653665813
