,actual,predicted,abs_error,mape (%)
1970-01-01 00:00:00.000001901,581.5967407226562,581.404327097036,0.19241362562024733,0.03308368361575858
1970-01-01 00:00:00.000001902,583.9100952148438,581.6108392526658,2.2992559621779947,0.3937688320548743
1970-01-01 00:00:00.000001903,583.7705078125,581.8173514082955,1.953156404204492,0.3345760668046324
1970-01-01 00:00:00.000001904,582.2548217773438,582.0238635639253,0.23095821341848932,0.03966617446180781
1970-01-01 00:00:00.000001905,581.546875,582.230375719555,0.6835007195550133,0.11753149211832896
1970-01-01 00:00:00.000001906,579.3630981445312,582.4368878751848,3.073789730653516,0.5305463431305234
1970-01-01 00:00:00.000001907,569.8203735351562,582.6434000308145,12.823026495658269,2.2503629373769884
1970-01-01 00:00:00.000001908,578.485595703125,582.8499121864443,4.364316483319271,0.7544382290132268
1970-01-01 00:00:00.000001909,575.7035522460938,583.056424342074,7.352872095980274,1.2771976249396444
1970-01-01 00:00:00.000001910,579.9813232421875,583.2629364977038,3.2816132555162767,0.5658136088195976
1970-01-01 00:00:00.000001911,579.63232421875,583.4694486533335,3.8371244345835294,0.6619928313617341
1970-01-01 00:00:00.000001912,584.0696411132812,583.6759608089633,0.39368030431796797,0.06740297331112491
1970-01-01 00:00:00.000001913,582.873046875,583.882472964593,1.0094260895930347,0.1731811232317131
1970-01-01 00:00:00.000001914,589.0952758789062,584.0889851202228,5.006290758683463,0.8498270082397588
1970-01-01 00:00:00.000001915,591.1494140625,584.2954972758525,6.85391678664746,1.1594220722551238
1970-01-01 00:00:00.000001916,591.1593017578125,584.5020094314823,6.657292326330207,1.1261418549170665
1970-01-01 00:00:00.000001917,589.8829956054688,584.708521587112,5.174474018356705,0.8772034550759531
1970-01-01 00:00:00.000001918,589.673583984375,584.9150337427418,4.758550241633202,0.8069803991354126
1970-01-01 00:00:00.000001919,586.4528198242188,585.1215458983716,1.3312739258471993,0.22700443767091621
1970-01-01 00:00:00.000001920,584.9072265625,585.3280580540013,0.4208314915013034,0.07194841718310273
1970-01-01 00:00:00.000001921,582.6038208007812,585.534570209631,2.930749408849806,0.5030432867435592
1970-01-01 00:00:00.000001922,591.5183715820312,585.7410823652608,5.777289216770441,0.9766880445858226
1970-01-01 00:00:00.000001923,589.0155029296875,585.9475945208906,3.0679084087969386,0.5208535927386556
1970-01-01 00:00:00.000001924,591.3687744140625,586.1541066765203,5.214667737542186,0.8817962603299373
1970-01-01 00:00:00.000001925,592.724853515625,586.3606188321501,6.364234683474933,1.0737249578327601
1970-01-01 00:00:00.000001926,594.8189086914062,586.5671309877798,8.25177770362643,1.3872756200337062
1970-01-01 00:00:00.000001927,591.3887329101562,586.7736431434096,4.615089766746678,0.7803817539837713
1970-01-01 00:00:00.000001928,587.0311889648438,586.9801552990393,0.051033665804425254,0.008693518634745243
1970-01-01 00:00:00.000001929,590.0325317382812,587.1866674546691,2.8458642836121726,0.48232328397690843
1970-01-01 00:00:00.000001930,594.8887329101562,587.3931796102988,7.49555329985742,1.259992480138205
