,actual,predicted,abs_error,mape (%)
1970-01-01 00:00:00.000001901,352.6497497558594,353.19003740713475,0.5402876512753778,0.15320800642831048
1970-01-01 00:00:00.000001902,355.70831298828125,353.7194638239675,1.9888491643137627,0.559123611029941
1970-01-01 00:00:00.000001903,354.1441345214844,353.47255022678434,0.6715842947000397,0.18963586552336295
1970-01-01 00:00:00.000001904,349.979736328125,353.4428643979436,3.4631280698185947,0.9895224524004225
1970-01-01 00:00:00.000001905,349.6011657714844,353.7069335214534,4.105767749969004,1.1744147765950887
1970-01-01 00:00:00.000001906,344.18145751953125,353.27631664506094,9.094859125529695,2.642460518086913
1970-01-01 00:00:00.000001907,338.0842590332031,353.79267114132574,15.708412108122616,4.64630094079
1970-01-01 00:00:00.000001908,340.8738098144531,353.27172551616974,12.397915701716613,3.637098346882424
1970-01-01 00:00:00.000001909,336.17144775390625,353.72671590704385,17.555268153137604,5.222117544613399
1970-01-01 00:00:00.000001910,338.4728088378906,353.3896247223614,14.916815884470793,4.40709430565074
1970-01-01 00:00:00.000001911,330.8513488769531,353.5798748196508,22.728525942697672,6.86970931805106
1970-01-01 00:00:00.000001912,335.5238647460937,353.54170095662863,18.017836210534938,5.37006100122561
1970-01-01 00:00:00.000001913,334.64715576171875,353.4436959358714,18.796540174152653,5.61682352607129
1970-01-01 00:00:00.000001914,336.0743103027344,353.64590442840927,17.571594125674892,5.228484768694897
1970-01-01 00:00:00.000001915,341.8728332519531,353.3810324356404,11.508199183687282,3.3662221926847224
1970-01-01 00:00:00.000001916,344.8070068359375,353.6643601671938,8.85735333125632,2.568785771650729
1970-01-01 00:00:00.000001917,343.7890319824219,353.40315074495896,9.614118762537089,2.796517011348013
1970-01-01 00:00:00.000001918,342.0624389648437,353.61024436693253,11.54780540208884,3.3759349424727962
1970-01-01 00:00:00.000001919,341.7730407714844,353.4775788352373,11.70453806375292,3.424652230419422
1970-01-01 00:00:00.000001920,343.2500915527344,353.5282999737142,10.278208420979809,2.9943789306756066
1970-01-01 00:00:00.000001921,343.0105895996094,353.555003536396,10.544413936786611,3.0740782519557
1970-01-01 00:00:00.000001922,349.3480224609375,353.465160765012,4.117138304074501,1.1785205695660868
1970-01-01 00:00:00.000001923,348.13043212890625,353.59735844163686,5.466926312730607,1.570367255542401
1970-01-01 00:00:00.000001924,350.4857482910156,353.4464014048406,2.9606531138250034,0.8447285312630491
1970-01-01 00:00:00.000001925,349.65740966796875,353.5932661530184,3.935856485049669,1.1256322263518224
1970-01-01 00:00:00.000001926,349.1683654785156,353.46963753998136,4.301272061465738,1.231861900081093
1970-01-01 00:00:00.000001927,351.0845947265625,353.5566506081231,2.472055881560607,0.7041197246167791
1970-01-01 00:00:00.000001928,349.3779602050781,353.5128692933416,4.134909088263498,1.1835059904283562
1970-01-01 00:00:00.000001929,350.1763916015625,353.513518927632,3.337127326069492,0.9529846688998213
1970-01-01 00:00:00.000001930,350.296142578125,353.5501263902795,3.2539838121545017,0.9289236781786087
