,actual,predicted,abs_error,mape (%)
1970-01-01 00:00:00.000001901,118368.0,118754.9609375,386.9609375,0.3269134711239524
1970-01-01 00:00:00.000001902,117635.8828125,118754.9609375,1119.078125,0.9513067766777423
1970-01-01 00:00:00.000001903,117924.4765625,118754.9609375,830.484375,0.7042510589901521
1970-01-01 00:00:00.000001904,117922.1484375,118754.9609375,832.8125,0.7062392527909204
1970-01-01 00:00:00.000001905,117831.1875,118754.9609375,923.7734375,0.7839804190210677
1970-01-01 00:00:00.000001906,115758.203125,118754.9609375,2996.7578125,2.5888081635683213
1970-01-01 00:00:00.000001907,113320.0859375,118754.9609375,5434.875,4.796038544303191
1970-01-01 00:00:00.000001908,115071.8828125,118754.9609375,3683.078125,3.2006759905034903
1970-01-01 00:00:00.000001909,114141.4453125,118754.9609375,4613.515625,4.0419285145452415
1970-01-01 00:00:00.000001910,115028.0,118754.9609375,3726.9609375,3.240046716886323
1970-01-01 00:00:00.000001911,117496.8984375,118754.9609375,1258.0625,1.0707197523764425
1970-01-01 00:00:00.000001912,116688.7265625,118754.9609375,2066.234375,1.7707232188306536
1970-01-01 00:00:00.000001913,118731.4453125,118754.9609375,23.515625,0.019805726223669818
1970-01-01 00:00:00.000001914,120172.90625,118754.9609375,1417.9453125,1.179920962841822
1970-01-01 00:00:00.000001915,123344.0625,118754.9609375,4589.1015625,3.720569494376756
1970-01-01 00:00:00.000001916,118359.578125,118754.9609375,395.3828125,0.3340522319895689
1970-01-01 00:00:00.000001917,117398.3515625,118754.9609375,1356.609375,1.1555608379030557
1970-01-01 00:00:00.000001918,116252.3125,118754.9609375,2502.6484375,2.152773036235301
1970-01-01 00:00:00.000001919,112831.1796875,118754.9609375,5923.78125,5.250127904721594
1970-01-01 00:00:00.000001920,114274.7421875,118754.9609375,4480.21875,3.920567803731235
1970-01-01 00:00:00.000001921,112419.03125,118754.9609375,6335.9296875,5.635993850018166
1970-01-01 00:00:00.000001922,116874.0859375,118754.9609375,1880.875,1.6093173990732415
1970-01-01 00:00:00.000001923,110124.3515625,118754.9609375,8630.609375,7.837148870839691
1970-01-01 00:00:00.000001924,111802.65625,118754.9609375,6952.3046875,6.218371656532088
1970-01-01 00:00:00.000001925,111222.0625,118754.9609375,7532.8984375,6.772845484231152
1970-01-01 00:00:00.000001926,112544.8046875,118754.9609375,6210.15625,5.517941292131224
1970-01-01 00:00:00.000001927,108410.8359375,118754.9609375,10344.125,9.54159693590362
1970-01-01 00:00:00.000001928,111200.5859375,118754.9609375,7554.375,6.793466901555642
1970-01-01 00:00:00.000001929,111723.2109375,118754.9609375,7031.75,6.293902530185683
1970-01-01 00:00:00.000001930,110723.6015625,118754.9609375,8031.359375,7.2535207143407
