ticker,order,rmse,mae,mape,aic,bic,train_size,valid_size
VOO,"(0, 2, 1)",4.911866607635912,3.9437310512893116,0.6730954121238455,10716.075027524632,10727.173192946257,1901,30
QQQ,"(0, 2, 1)",6.199669683291415,4.8169185952014955,0.842847233849297,11225.004622763146,11236.102788184771,1901,30
EUNL.DE,"(1, 2, 2)",1.414058658819105,1.2438758262486511,1.1892510945746182,3977.863783582061,4000.06011442531,1901,30
XAR,"(0, 1, 0)",4.7895900844000145,4.179092407226564,1.9434556709934943,7537.628260365196,7543.177869530351,1901,30
V,"(2, 1, 2)",10.76375362078646,8.853064794746558,2.600908961939282,9872.03023954642,9899.778285372193,1901,30
TSLA,"(0, 2, 2)",14.000948656445843,11.21825316563711,3.501746857088629,13319.009312688278,13335.656560820715,1901,30
BTC-USD,"(0, 1, 0)",4909.431383541121,3968.87265625,3.5129705170817234,33169.00721768322,33174.55682684837,1901,30
XRP-USD,"(2, 1, 1)",0.16438296437516978,0.13276687364089798,4.478735715744428,-4641.640577465654,-4619.442140805036,1901,30
