,actual,predicted,abs_error,mape (%)
1970-01-01 00:00:00.000001901,305.29998779296875,332.71652208749407,27.41653429452532,8.980195018257627
1970-01-01 00:00:00.000001902,316.0599975585937,332.88119621791355,16.82119865931986,5.322153638314009
1970-01-01 00:00:00.000001903,325.5899963378906,333.04587034833304,7.455874010442415,2.289957951504401
1970-01-01 00:00:00.000001904,321.20001220703125,333.2105444787525,12.010532271721274,3.7392689337694724
1970-01-01 00:00:00.000001905,319.0400085449219,333.375218609172,14.335210064250134,4.493232723265706
1970-01-01 00:00:00.000001906,308.2699890136719,333.5398927395915,25.26990372591962,8.197328519319113
1970-01-01 00:00:00.000001907,302.6300048828125,333.704566870011,31.07456198719848,10.268169542286955
1970-01-01 00:00:00.000001908,309.260009765625,333.86924100043046,24.609231234805463,7.957456657087915
1970-01-01 00:00:00.000001909,308.7200012207031,334.03391513084995,25.313913910146823,8.199635206677126
1970-01-01 00:00:00.000001910,319.9100036621094,334.19858926126943,14.288585599160058,4.466439134629793
1970-01-01 00:00:00.000001911,322.2699890136719,334.3632633916889,12.093274378017043,3.7525288702895643
1970-01-01 00:00:00.000001912,329.6499938964844,334.5279375221084,4.877943625624027,1.479734177442692
1970-01-01 00:00:00.000001913,339.0299987792969,334.6926116525279,4.337387126768988,1.279352016749573
1970-01-01 00:00:00.000001914,340.8399963378906,334.8572857829474,5.982710554943253,1.755284185900622
1970-01-01 00:00:00.000001915,339.3800048828125,335.02195991336686,4.358044969445643,1.2841195435041823
1970-01-01 00:00:00.000001916,335.5799865722656,335.18663404378634,0.3933525284792836,0.117215729250462
1970-01-01 00:00:00.000001917,330.5599975585937,335.3513081742058,4.791310615612133,1.4494526412751576
1970-01-01 00:00:00.000001918,335.1600036621094,335.5159823046253,0.3559786425159359,0.10621155228140372
1970-01-01 00:00:00.000001919,329.3099975585937,335.6806564350448,6.3706588764511025,1.934547667450509
1970-01-01 00:00:00.000001920,323.8999938964844,335.8453305654643,11.945336668979905,3.687970637257107
1970-01-01 00:00:00.000001921,320.1099853515625,336.01000469588377,15.900019344321265,4.967048849431855
1970-01-01 00:00:00.000001922,340.010009765625,336.17467882630325,3.83533093932175,1.128005302539626
1970-01-01 00:00:00.000001923,346.6000061035156,336.33935295672273,10.26065314679289,2.9603730427311192
1970-01-01 00:00:00.000001924,351.6700134277344,336.5040270871422,15.165986340592156,4.312561708850009
1970-01-01 00:00:00.000001925,349.6000061035156,336.6687012175617,12.93130488595392,3.6988857723660895
1970-01-01 00:00:00.000001926,345.9800109863281,336.8333753479812,9.146635638346936,2.6436890421130075
1970-01-01 00:00:00.000001927,333.8699951171875,336.9980494784007,3.1280543612131737,0.9369079003685955
1970-01-01 00:00:00.000001928,329.3599853515625,337.16272360882016,7.8027382572576585,2.3690607858537915
1970-01-01 00:00:00.000001929,334.0899963378906,337.32739773923964,3.237401401349018,0.9690207539392433
1970-01-01 00:00:00.000001930,338.5299987792969,337.4920718696591,1.037926909637747,0.3065982079521463
