ticker,first_date,last_date,n_rows,n_missing,mean,var,std,asset_class,currency
BTC-USD,2015-01-02,2025-09-04,3899,0,25275.67556718864,858671341.6185827,29303.09440346843,Crypto,USD
EUNL.DE,2015-01-02,2025-09-04,2715,1184,60.98172969080466,418.1165093454376,20.447897430920314,ETF,EUR
QQQ,2015-01-02,2025-09-04,2684,1215,254.72672371501895,17804.63001593445,133.43399123137422,ETF,USD
TSLA,2015-01-02,2025-09-04,2684,1215,128.39422475811978,14800.800048454974,121.65853874042287,Stock,USD
V,2015-01-02,2025-09-04,2684,1215,173.97289616091595,6396.599798385349,79.97874591655804,Stock,USD
VOO,2015-01-02,2025-09-04,2684,1215,301.35244283093425,14448.31209741632,120.20113184748436,ETF,USD
XAR,2015-01-02,2025-09-04,2684,1215,99.01066475653613,1379.8163274062701,37.14587900974037,ETF,USD
XRP-USD,2015-01-02,2025-09-04,2857,1042,0.723591516317919,0.4510305106662377,0.6715880513128846,Crypto,USD
