date,ticker,asset_class,close,currency
2015-01-02,BTC-USD,Crypto,315.0320129394531,USD
2015-01-03,BTC-USD,Crypto,281.0820007324219,USD
2015-01-04,BTC-USD,Crypto,264.19500732421875,USD
2015-01-05,BTC-USD,Crypto,274.4739990234375,USD
2015-01-06,BTC-USD,Crypto,286.1889953613281,USD
2015-01-07,BTC-USD,Crypto,294.3370056152344,USD
2015-01-08,BTC-USD,Crypto,283.3489990234375,USD
2015-01-09,BTC-USD,Crypto,290.4079895019531,USD
2015-01-10,BTC-USD,Crypto,274.7959899902344,USD
2015-01-11,BTC-USD,Crypto,265.6600036621094,USD
2015-01-12,BTC-USD,Crypto,267.7959899902344,USD
2015-01-13,BTC-USD,Crypto,225.86099243164062,USD
2015-01-14,BTC-USD,Crypto,178.10299682617188,USD
2015-01-15,BTC-USD,Crypto,209.843994140625,USD
2015-01-16,BTC-USD,Crypto,208.0970001220703,USD
2015-01-17,BTC-USD,Crypto,199.25999450683594,USD
2015-01-18,BTC-USD,Crypto,210.33900451660156,USD
2015-01-19,BTC-USD,Crypto,214.86099243164062,USD
2015-01-20,BTC-USD,Crypto,211.31500244140625,USD
2015-01-21,BTC-USD,Crypto,226.89700317382812,USD
2015-01-22,BTC-USD,Crypto,233.406005859375,USD
2015-01-23,BTC-USD,Crypto,232.87899780273438,USD
2015-01-24,BTC-USD,Crypto,247.8470001220703,USD
2015-01-25,BTC-USD,Crypto,253.71800231933594,USD
2015-01-26,BTC-USD,Crypto,273.4729919433594,USD
2015-01-27,BTC-USD,Crypto,263.4750061035156,USD
2015-01-28,BTC-USD,Crypto,233.9149932861328,USD
2015-01-29,BTC-USD,Crypto,233.51300048828125,USD
2015-01-30,BTC-USD,Crypto,226.4250030517578,USD
2015-01-31,BTC-USD,Crypto,217.46400451660156,USD
2015-02-01,BTC-USD,Crypto,226.9720001220703,USD
2015-02-02,BTC-USD,Crypto,238.22900390625,USD
2015-02-03,BTC-USD,Crypto,227.26800537109375,USD
2015-02-04,BTC-USD,Crypto,226.85299682617188,USD
2015-02-05,BTC-USD,Crypto,217.11099243164062,USD
2015-02-06,BTC-USD,Crypto,222.26600646972656,USD
2015-02-07,BTC-USD,Crypto,227.75399780273438,USD
2015-02-08,BTC-USD,Crypto,223.41200256347656,USD
2015-02-09,BTC-USD,Crypto,220.11000061035156,USD
2015-02-10,BTC-USD,Crypto,219.83900451660156,USD
2015-02-11,BTC-USD,Crypto,219.18499755859375,USD
2015-02-12,BTC-USD,Crypto,221.76400756835938,USD
2015-02-13,BTC-USD,Crypto,235.427001953125,USD
2015-02-14,BTC-USD,Crypto,257.3210144042969,USD
2015-02-15,BTC-USD,Crypto,234.8249969482422,USD
2015-02-16,BTC-USD,Crypto,233.84300231933594,USD
2015-02-17,BTC-USD,Crypto,243.61000061035156,USD
2015-02-18,BTC-USD,Crypto,236.3260040283203,USD
2015-02-19,BTC-USD,Crypto,240.2830047607422,USD
2015-02-20,BTC-USD,Crypto,243.7790069580078,USD
2015-02-21,BTC-USD,Crypto,244.53399658203125,USD
2015-02-22,BTC-USD,Crypto,235.9770050048828,USD
2015-02-23,BTC-USD,Crypto,238.89199829101562,USD
2015-02-24,BTC-USD,Crypto,238.73500061035156,USD
2015-02-25,BTC-USD,Crypto,237.47000122070312,USD
2015-02-26,BTC-USD,Crypto,236.42599487304688,USD
2015-02-27,BTC-USD,Crypto,253.8280029296875,USD
2015-02-28,BTC-USD,Crypto,254.26300048828125,USD
2015-03-01,BTC-USD,Crypto,260.2019958496094,USD
2015-03-02,BTC-USD,Crypto,275.6700134277344,USD
2015-03-03,BTC-USD,Crypto,281.7019958496094,USD
2015-03-04,BTC-USD,Crypto,273.0920104980469,USD
2015-03-05,BTC-USD,Crypto,276.1780090332031,USD
2015-03-06,BTC-USD,Crypto,272.7229919433594,USD
2015-03-07,BTC-USD,Crypto,276.260986328125,USD
2015-03-08,BTC-USD,Crypto,274.35400390625,USD
2015-03-09,BTC-USD,Crypto,289.60699462890625,USD
2015-03-10,BTC-USD,Crypto,291.760009765625,USD
2015-03-11,BTC-USD,Crypto,296.3789978027344,USD
2015-03-12,BTC-USD,Crypto,294.35400390625,USD
2015-03-13,BTC-USD,Crypto,285.3370056152344,USD
2015-03-14,BTC-USD,Crypto,281.885009765625,USD
2015-03-15,BTC-USD,Crypto,286.39300537109375,USD
2015-03-16,BTC-USD,Crypto,290.5929870605469,USD
2015-03-17,BTC-USD,Crypto,285.5050048828125,USD
2015-03-18,BTC-USD,Crypto,256.29901123046875,USD
2015-03-19,BTC-USD,Crypto,260.9280090332031,USD
2015-03-20,BTC-USD,Crypto,261.7489929199219,USD
2015-03-21,BTC-USD,Crypto,260.0249938964844,USD
2015-03-22,BTC-USD,Crypto,267.9599914550781,USD
2015-03-23,BTC-USD,Crypto,266.739990234375,USD
2015-03-24,BTC-USD,Crypto,245.59500122070312,USD
2015-03-25,BTC-USD,Crypto,246.19700622558594,USD
2015-03-26,BTC-USD,Crypto,248.53199768066406,USD
2015-03-27,BTC-USD,Crypto,247.0290069580078,USD
