date,actual_return,predicted_return,predicted_volatility,abs_error_ret,mape_ret
2025-07-24,0.0021261110325339,0.0011489391797756248,0.007964937213082585,0.0009771718527582752,45.960527827828514
2025-07-25,0.0024040973679904,0.0011489391797756248,0.008019194970013825,0.001255158188214775,52.209124510791746
2025-07-28,0.0031202816094912,0.0011489391797756248,0.008228449151130563,0.0019713424297155752,63.17834979122371
2025-07-29,-0.0015500906103218,0.0011489391797756248,0.00842096394133832,0.002699029790097425,-174.1207754001622
2025-07-30,0.001338939178626,0.0011489391797756248,0.008606016385989167,0.00018999999885037518,14.190338282979397
2025-07-31,-0.0053132275457858,0.0011489391797756248,0.00878374084069086,0.006462166725561424,-121.62412902279914
2025-08-01,-0.0198953984638183,0.0011489391797756248,0.008954657520831829,0.021044337643593924,-105.77489906455043
2025-08-04,0.0182834198815005,0.0011489391797756248,0.009119209578883963,0.017134480701724873,93.71595036802637
2025-08-05,-0.0068126152634109,0.0011489391797756248,0.009277794895677373,0.007961554443186525,-116.86487692834105
2025-08-06,0.0125046588108732,0.0011489391797756248,0.009430771583916791,0.011355719631097575,90.81191100730724
2025-08-07,0.0033786349729494,0.0011489391797756248,0.009578463526443474,0.002229695793173775,65.99398310339956
2025-08-08,0.0092849556646203,0.0011489391797756248,0.009721164907254597,0.008136016484844676,87.6257978898749
2025-08-11,-0.0029632715701994,0.0011489391797756248,0.009859143992957965,0.004112210749975025,-138.77265895337135
2025-08-12,0.0124903835277514,0.0011489391797756248,0.00999264630938649,0.011341444347975776,90.80140992289878
2025-08-13,0.0004999522216388,0.0011489391797756248,0.010121897328231027,0.0006489869581368248,129.8097958259895
2025-08-14,-0.0007756805790126,0.0011489391797756248,0.010247104753465753,0.0019246197587882248,-248.12014260279187
2025-08-15,-0.004407101127656,0.0011489391797756248,0.010368460478485558,0.005556040307431625,-126.07017961456921
2025-08-18,-0.0003985686093868,0.0011489391797756248,0.01048614227044747,0.0015475077891624247,-388.26634931016616
2025-08-19,-0.0136603600538682,0.0011489391797756248,0.010600315227169836,0.014809299233643825,-108.41075326891021
2025-08-20,-0.0059550419523155,0.0011489391797756248,0.010711133043267887,0.007103981132091125,-119.29355307612708
2025-08-21,-0.0046405031057759,0.0011489391797756248,0.010818739115392202,0.005789442285551525,-124.75893569267464
2025-08-22,0.0153095837425762,0.0011489391797756248,0.010923267511046282,0.014160644562800575,92.495294456763
2025-08-25,-0.0028889039268786,0.0011489391797756248,0.011024843821163125,0.004037843106654225,-139.77076458257406
2025-08-26,0.0040072589661992,0.0011489391797756248,0.0111235859131734,0.0028583197864235754,71.32855177399804
2025-08-27,0.001535618928357,0.0011489391797756248,0.011219604598513759,0.0003866797485813753,25.18070996917799
2025-08-28,0.0062404635740316,0.0011489391797756248,0.011313004226262077,0.005091524394255975,81.58888091973331
2025-08-29,-0.011642993718774,0.0011489391797756248,0.0114038832127383,0.012791932898549624,-109.86807351723459
2025-09-02,-0.0084155195169222,0.0011489391797756248,0.01149233451539144,0.009564458696697824,-113.65262331654394
2025-09-03,0.0078367528224454,0.0011489391797756248,0.011578446058039728,0.006687813642669776,85.33909125620339
2025-09-04,0.0090107422040555,0.0011489391797756248,0.011662301113490838,0.007861803024279876,87.2492281572708
