ticker,order,aic,bic,persistence,rmse_vol,rmse_ret,mape_ret,train_size,valid_size
XAR,"(2, 2)",-10849.335743908116,-10816.038088917188,0.48999990551681644,0.009556308965680133,0.009238277605493629,97.08684894695813,1900,30
TSLA,"(1, 1)",-6949.520373602865,-6927.321936942247,0.979999975103814,0.02317178189568253,0.02692902153919508,104.32320766927354,1900,30
QQQ,"(2, 1)",-11072.041293772178,-11044.293247946405,0.9299999325668101,0.006301557712698622,0.008474280304808509,110.42825531380942,1900,30
V,"(1, 1)",-10742.451821037614,-10720.253384376996,0.9799999491643886,0.008454895015807954,0.009616697684418283,114.3122581914237,1900,30
XRP-USD,"(1, 2)",-5214.311617466939,-5186.563571641167,0.26593993045463793,0.05679197978209195,0.03941740097580617,124.00509736428218,1900,30
VOO,"(2, 2)",-12194.293018443248,-12160.99536345232,0.49000003664694053,0.004886050157876864,0.006613327118056828,323.4653385482581,1900,30
BTC-USD,"(2, 2)",-6770.501963663614,-6737.204308672687,0.8373673930493454,0.025858707297921977,0.021503838314118125,365.3908237844098,1900,30
EUNL.DE,"(1, 1)",-12552.03314017085,-12529.834703510232,0.8999999770842357,0.007374936620151686,0.007535725731945944,inf,1900,30
