date,actual_return,predicted_return,predicted_volatility,abs_error_ret,mape_ret
2025-07-24,-0.0032638027078917,0.0015269762264003618,0.029620865994682794,0.004790778934292061,-146.78518780281095
2025-07-25,-0.0062043007703422,0.0015269762264003618,0.030123547265266448,0.007731276996742562,-124.61157643581069
2025-07-28,0.0024502755485276,0.0015269762264003618,0.03154254514000994,0.0009232993221272383,37.68144863062687
2025-07-29,-1.974270354665464e-05,0.0015269762264003618,0.03272234511106027,0.0015467189299470164,-7834.382592495063
2025-07-30,-0.000771661971628,0.0015269762264003618,0.0337884737366026,0.002298638198028362,-297.88149248547927
2025-07-31,-0.01774942596737,0.0015269762264003618,0.0347486293595764,0.019276402193770362,-108.60296118425188
2025-08-01,-0.0212871264623775,0.0015269762264003618,0.03561718963119683,0.022814102688777864,-107.1732379149394
2025-08-04,0.0153405677011342,0.0015269762264003618,0.036405243506263944,0.013813591474733839,90.0461556824428
2025-08-05,-0.008118573366822,0.0015269762264003618,0.03712211270056243,0.009645549593222362,-118.80843046440428
2025-08-06,0.0077371493304791,0.0015269762264003618,0.03777567163505371,0.006210173104078738,80.26435627414976
2025-08-07,0.021236359971132,0.0015269762264003618,0.03837264957347744,0.019709383744731638,92.80961413125374
2025-08-08,-0.0069020041967338,0.0015269762264003618,0.038918849665772165,0.008428980423134162,-122.12366412531254
2025-08-11,0.0173542479439525,0.0015269762264003618,0.03941931613760696,0.015827271717552136,91.20113858386773
2025-08-12,0.0120674104129605,0.0015269762264003618,0.03987846365926551,0.010540434186560138,87.34628081630193
2025-08-13,0.0260461153103026,0.0015269762264003618,0.04030017905686799,0.024519139083902238,94.13741278417682
2025-08-14,-0.0412504432416689,0.0015269762264003618,0.040687902386168345,0.04277741946806926,-103.70172077292467
2025-08-15,-0.0081543970979058,0.0015269762264003618,0.04104469236142555,0.009681373324306162,-118.7258016511425
2025-08-18,-0.0098099293474049,0.0015269762264003618,0.041373279750410684,0.011336905573805262,-115.56561900014401
2025-08-19,-0.0298702202052201,0.0015269762264003618,0.04167611139073841,0.031397196431620464,-105.11203538477265
2025-08-20,0.012712851606869,0.0015269762264003618,0.04195538680891107,0.011185875380468639,87.98871981188464
2025-08-21,-0.0163723278465059,0.0015269762264003618,0.04221308894071452,0.017899304072906262,-109.32656761284096
2025-08-22,0.0388639264247778,0.0015269762264003618,0.04245101010054396,0.03733695019837744,96.07096768939219
2025-08-25,-0.0594869706788774,0.0015269762264003618,0.042670774088435094,0.06101394690527776,-102.56690870113943
2025-08-26,0.0151251233395282,0.0015269762264003618,0.0428738551303784,0.013598147113127838,89.90437173884234
2025-08-27,-0.0052065534692697,0.0015269762264003618,0.043061594201591336,0.006733529695670062,-129.3279659070618
2025-08-28,0.0118226403333174,0.0015269762264003618,0.04323521317105015,0.010295664106917039,87.08430449248137
2025-08-29,-0.037423359714662,0.0015269762264003618,0.04339582711971697,0.03895033594106236,-104.08027563009558
2025-09-02,0.0254076044920328,0.0015269762264003618,0.04354445511808047,0.023880628265632437,93.99008187930828
2025-09-03,0.0046888305764056,0.0015269762264003618,0.04368202969618155,0.0031618543500052383,67.43375130498055
2025-09-04,-0.0089874616977692,0.0015269762264003618,0.04380940519779319,0.010514437924169562,-116.9900721443895
